no,name,gender
0,an cơ,1
1,an co,1
2,an khang,1
4,ân lai,1
5,an lai,1
6,an nam,1
8,an nguyên,1
9,an nguyen,1
10,an ninh,1
12,an tâm,1
13,an tam,1
14,ân thiện,1
15,an thien,1
16,an tường,1
17,an tuong,1
18,anh ðức,1
19,anh duc,1
20,anh dũng,1
21,anh dung,1
22,anh duy,1
24,anh hoàng,1
25,anh hoang,1
26,anh khải,1
27,anh khai,1
28,anh khoa,1
30,anh khôi,1
31,anh khoi,1
32,anh minh,1
34,anh quân,1
35,anh quan,1
36,anh quốc,1
37,anh quoc,1
38,anh sơn,1
39,anh son,1
40,anh tài,1
41,anh tai,1
42,anh thái,1
43,anh thai,1
44,anh tú,1
45,anh tu,1
46,anh tuấn,1
47,anh tuan,1
48,anh tùng,1
49,anh tung,1
50,anh việt,1
51,anh viet,1
52,anh vũ,1
53,anh vu,1
54,bá cường,1
55,ba cuong,1
56,bá kỳ,1
57,ba ky,1
58,bá lộc,1
59,ba loc,1
60,bá long,1
61,ba long,1
62,bá phước,1
63,ba phuoc,1
64,bá thành,1
65,ba thanh,1
66,bá thiện,1
67,ba thien,1
68,bá thịnh,1
69,ba thinh,1
70,bá thúc,1
71,ba thuc,1
72,bá trúc,1
73,ba truc,1
74,bá tùng,1
75,ba tung,1
76,bách du,1
77,bach du,1
78,bách nhân,1
79,bach nhan,1
80,bằng sơn,1
81,bang son,1
82,bảo an,1
83,bao an,1
84,bảo bảo,1
85,bao bao,1
86,bảo chấn,1
87,bao chan,1
88,bảo ðịnh,1
89,bao dinh,1
90,bảo duy,1
91,bao duy,1
92,bảo giang,1
93,bao giang,1
94,bảo hiển,1
95,bao hien,1
96,bảo hoa,1
97,bao hoa,1
98,bảo hoàng,1
99,bao hoang,1
100,bảo huy,1
101,bao huy,1
102,bảo huynh,1
103,bao huynh,1
104,bảo huỳnh,1
106,bảo khánh,1
107,bao khanh,1
108,bảo lâm,1
109,bao lam,1
110,bảo long,1
111,bao long,1
112,bảo pháp,1
113,bao phap,1
